timestamp,consumption_kwh,voltage_v,current_a,frequency_hz,meter,day_of_week,is_weekend
2020-02-26,3.932,258.05079166666667,0.8046041666666667,49.582208333333334,BR49,2,0
2020-02-27,3.961,257.8085,0.8652916666666666,49.5876875,BR49,3,0
2020-02-28,4.086,259.7921875,0.8632708333333333,49.901125,BR49,4,0
2020-02-29,4.819,250.81075,1.0425416666666667,48.12329166666667,BR49,5,1
2020-03-01,4.68,259.1168333333333,0.9863541666666666,49.285645833333334,BR49,6,1
2020-03-02,4.937,253.67191666666668,1.0255416666666666,48.74610416666667,BR49,0,0
2020-03-03,4.229,258.4598125,0.8904166666666666,49.69025,BR49,1,0
2020-03-04,5.149,259.40989583333334,1.040875,49.90625,BR49,2,0
2020-03-05,4.602,260.5071041666667,0.9342916666666666,50.00252083333333,BR49,3,0
2020-03-06,4.775,201.78691666666666,1.0212916666666667,38.3386875,BR49,4,0
2020-03-07,4.457,256.01443750000004,0.9338541666666667,48.946000000000005,BR49,5,1
2020-03-08,3.782,251.90216666666666,0.8106458333333334,48.23920833333333,BR49,6,1
2020-03-09,3.801,262.1172708333333,0.8484999999999999,50.0245625,BR49,0,0
2020-03-10,5.406,262.9833125,1.0652916666666665,50.03697916666667,BR49,1,0
2020-03-11,8.468,261.432875,1.6332708333333334,49.993875,BR49,2,0
2020-03-12,4.499,245.61695833333334,0.9083125,47.50266666666666,BR49,3,0
2020-03-13,5.161,248.00300000000001,1.0401458333333333,47.50691666666667,BR49,4,0
2020-03-14,4.035,261.26447916666666,0.8261458333333334,49.99814583333333,BR49,5,1
2020-03-15,3.669,247.93243750000002,0.8102291666666667,47.19835416666667,BR49,6,1
2020-03-16,3.333,257.94779166666666,0.7765000000000001,49.264354166666664,BR49,0,0
2020-03-17,3.215,224.5279375,0.7606041666666666,43.23591666666667,BR49,1,0
2020-03-18,4.25,243.14358333333334,0.9627708333333334,46.76933333333333,BR49,2,0
2020-03-19,4.303,259.1829583333334,0.8501458333333333,50.003375,BR49,3,0
2020-03-20,4.139,259.0628541666667,0.8287291666666667,50.02333333333333,BR49,4,0
2020-03-21,5.8149999999999995,258.3703541666667,1.0810208333333333,50.0289375,BR49,5,1
2020-03-22,5.739,261.70189583333337,1.0539791666666667,50.020583333333335,BR49,6,1
2020-03-23,5.88,259.73295833333333,1.0862291666666666,50.00397916666667,BR49,0,0
2020-03-24,4.96,214.61835416666665,0.9554791666666667,41.4939375,BR49,1,0
2020-03-25,5.023,254.86724999999998,0.9730208333333333,49.292541666666665,BR49,2,0
